"title","make","model","body_style","year","vin","vehicle_id","price","image[0].url","url","mileage.value","mileage.unit","state_of_vehicle","fb_page_id","description","address.addr1","address.city","address.region","address.country"
"2017 Alfa Romeo Giulia RWD Sedan"," Alfa Romeo ","Giulia","NONE","2017","ZARFAEBN3H7550444","550444","22,995 USD",,"https://www.sportcars.miami//used/Alfa+Romeo/2017-Alfa+Romeo-Giulia-37a8d13d0a0e0a927f2167997e0028c0.htm","34760","MI","USED","321137121850648","Sport Cars Miami is a one of a kind first class pre-owned vehicles dealership. Our extensive partnership network and our flexible financing options allow us to offer the widest selection of both off-lease and new car trades at exceptional values. Looking for a high quality vehicle? You've come to the right place. To learn more about our dealership and how we can help with your next vehicle purchase, please call us at 833-617-5627 or stop by in person. We look forward to meeting you.","1300 N State Road 7, FL 33021","Hollywood","Florida","United States"
"2017 Alfa Romeo Giulia RWD"," Alfa Romeo ","Giulia","NONE","2017","ZARFAEBN4H7533376","533376N","23,944 USD",,"https://www.sportcars.miami//used/Alfa+Romeo/2017-Alfa+Romeo-Giulia-ccaafb3c0a0e0a9118f70de29bc19bb3.htm","28910","MI","USED","321137121850648","Sport Cars Miami is a one of a kind first class pre-owned vehicles dealership. Our extensive partnership network and our flexible financing options allow us to offer the widest selection of both off-lease and new car trades at exceptional values. Looking for a high quality vehicle? You've come to the right place. To learn more about our dealership and how we can help with your next vehicle purchase, please call us at 833-617-5627 or stop by in person. We look forward to meeting you.","1300 N State Road 7, FL 33021","Hollywood","Florida","United States"
"2019 Alfa Romeo Stelvio Ti SUV"," Alfa Romeo ","Stelvio","NONE","2019","ZASPAKBN1K7C48565","C48565-T","30,995 USD",,"https://www.sportcars.miami//used/Alfa+Romeo/2019-Alfa+Romeo-Stelvio-37a920080a0e0a905d26eaafc6589deb.htm","12963","MI","USED","321137121850648","Sport Cars Miami is a one of a kind first class pre-owned vehicles dealership. Our extensive partnership network and our flexible financing options allow us to offer the widest selection of both off-lease and new car trades at exceptional values. Looking for a high quality vehicle? You've come to the right place. To learn more about our dealership and how we can help with your next vehicle purchase, please call us at 833-617-5627 or stop by in person. We look forward to meeting you.","1300 N State Road 7, FL 33021","Hollywood","Florida","United States"
"2018 Alfa Romeo Stelvio Ti Sport AWD SUV"," Alfa Romeo ","Stelvio","NONE","2018","ZASFAKNN6J7B74016","B74016","26,995 USD",,"https://www.sportcars.miami//used/Alfa+Romeo/2018-Alfa+Romeo-Stelvio-37a99b6d0a0e087f342c879231af89f9.htm","40770","MI","USED","321137121850648","Sport Cars Miami is a one of a kind first class pre-owned vehicles dealership. Our extensive partnership network and our flexible financing options allow us to offer the widest selection of both off-lease and new car trades at exceptional values. Looking for a high quality vehicle? You've come to the right place. To learn more about our dealership and how we can help with your next vehicle purchase, please call us at 833-617-5627 or stop by in person. We look forward to meeting you.","1300 N State Road 7, FL 33021","Hollywood","Florida","United States"
"2015 Audi A3 2.0T Premium Sedan"," Audi ","A3","NONE","2015","WAUBFGFF5F1047696","T-047696","11,495 USD",,"https://www.sportcars.miami//used/Audi/2015-Audi-A3-37a87fe30a0e0a937adff181177b8831.htm","117200","MI","USED","321137121850648","Sport Cars Miami is a one of a kind first class pre-owned vehicles dealership. Our extensive partnership network and our flexible financing options allow us to offer the widest selection of both off-lease and new car trades at exceptional values. Looking for a high quality vehicle? You've come to the right place. To learn more about our dealership and how we can help with your next vehicle purchase, please call us at 833-617-5627 or stop by in person. We look forward to meeting you.","1300 N State Road 7, FL 33021","Hollywood","Florida","United States"
"2016 Audi A3 FWD 1.8T Premium Sedan"," Audi ","A3","NONE","2016","WAUA7GFF9G1068416","1068416W","15,494 USD",,"https://www.sportcars.miami//used/Audi/2016-Audi-A3-37a97df10a0e081d0ba1841fe74c0e9f.htm","79566","MI","USED","321137121850648","Sport Cars Miami is a one of a kind first class pre-owned vehicles dealership. Our extensive partnership network and our flexible financing options allow us to offer the widest selection of both off-lease and new car trades at exceptional values. Looking for a high quality vehicle? You've come to the right place. To learn more about our dealership and how we can help with your next vehicle purchase, please call us at 833-617-5627 or stop by in person. We look forward to meeting you.","1300 N State Road 7, FL 33021","Hollywood","Florida","United States"
"2016 Audi A3 FWD 1.8T Premium Sedan"," Audi ","A3","NONE","2016","WAUA7GFF4G1070476","1070476","17,944 USD",,"https://www.sportcars.miami//used/Audi/2016-Audi-A3-ccab1a100a0e0a9118f70de2c82b49c4.htm","59303","MI","USED","321137121850648","Sport Cars Miami is a one of a kind first class pre-owned vehicles dealership. Our extensive partnership network and our flexible financing options allow us to offer the widest selection of both off-lease and new car trades at exceptional values. Looking for a high quality vehicle? You've come to the right place. To learn more about our dealership and how we can help with your next vehicle purchase, please call us at 833-617-5627 or stop by in person. We look forward to meeting you.","1300 N State Road 7, FL 33021","Hollywood","Florida","United States"
"2015 Audi A3 Sedan"," Audi ","A3","NONE","2015","WAUBFGFF1F1090383","90383","15,944 USD",,"https://www.sportcars.miami//used/Audi/2015-Audi-A3-37a930d10a0e0a9175a167fbb46e6b8e.htm","81890","MI","USED","321137121850648","Sport Cars Miami is a one of a kind first class pre-owned vehicles dealership. Our extensive partnership network and our flexible financing options allow us to offer the widest selection of both off-lease and new car trades at exceptional values. Looking for a high quality vehicle? You've come to the right place. To learn more about our dealership and how we can help with your next vehicle purchase, please call us at 833-617-5627 or stop by in person. We look forward to meeting you.","1300 N State Road 7, FL 33021","Hollywood","Florida","United States"
"2017 Audi A4 2.0 TFSI Automatic Premium Plus quattro AWD Sedan"," Audi ","A4","NONE","2017","WAUENAF48HN015980","N015980","19,995 USD",,"https://www.sportcars.miami//used/Audi/2017-Audi-A4-37a8cd260a0e0a937adff1815219c901.htm","90225","MI","USED","321137121850648","Sport Cars Miami is a one of a kind first class pre-owned vehicles dealership. Our extensive partnership network and our flexible financing options allow us to offer the widest selection of both off-lease and new car trades at exceptional values. Looking for a high quality vehicle? You've come to the right place. To learn more about our dealership and how we can help with your next vehicle purchase, please call us at 833-617-5627 or stop by in person. We look forward to meeting you.","1300 N State Road 7, FL 33021","Hollywood","Florida","United States"
"2014 Audi A4 Automatic quattro 2.0T Premium Plus Sedan"," Audi ","A4","NONE","2014","WAUFFAFL7EN036761","N036761","14,744 USD",,"https://www.sportcars.miami//used/Audi/2014-Audi-A4-ccab0af70a0e0a9118f70de2813f55e9.htm","86714","MI","USED","321137121850648","Sport Cars Miami is a one of a kind first class pre-owned vehicles dealership. Our extensive partnership network and our flexible financing options allow us to offer the widest selection of both off-lease and new car trades at exceptional values. Looking for a high quality vehicle? You've come to the right place. To learn more about our dealership and how we can help with your next vehicle purchase, please call us at 833-617-5627 or stop by in person. We look forward to meeting you.","1300 N State Road 7, FL 33021","Hollywood","Florida","United States"
